ALANYA TV ||> mms://mss.sardesnet.com:81/ATV
ADIM TV ||> mms://66.90.118.66/adim_tv
AHI TV ||> mms://66.90.118.66/ahitv
ART TV ||> mms://70.84.219.123/art
ATV TV ||> mms://213.194.117.6/atv
AZTV ||> mms://62.212.234.212/aztv
BAYRAK TV ||> mms://brt.emu.edu.tr/bayraktv
BRTV TV ||> mms://66.90.118.66/brtv
CAY TV ||> mms://66.90.118.66/caytv
DAU TV ||> mms://194.27.76.140/dautv
DOST TV ||> mms://dosttv.propagation.net/DostTV
ELIF TV ||> mms://66.90.118.66/eliftv
FUTURE TV ||> mms://85.214.36.243/Sample_Broadcast
GELISIM TV ||> http://81.214.70.75:8090
GUNAZ TV ||> http://pointers.audiovideoweb.com/asxfiles-live/il81winlive2115.asx
HILAL TV ||> mms://66.90.118.66/hilaltv
ILETISIM TV ||> mms://tv.iticu.edu.tr/tv
KANAL78 ||> mms://217.20.113.243:81/tv78
KANAL AVRUPA ||> http://yayin.kusto.com/KanalAvrupaTV_dsl.asx
KANAL S SAMSUN ||> mms://66.90.118.66/kanalstv
KARADENIZ TV ||> http://www.yayinnet.com/asx_Files/karadeniztv.asx
KARESI TV ||> mms://67.19.43.164/karesitv
KRAL TV ||> http://www.kraltv.com.tr/asx/kraltv.asx
MARMARA TV ||> mms://66.90.118.66/marmaratv
TRT1 TV ||> mms://212.175.166.3/TV1
TRT2 TV ||> mms://212.175.166.3/TV2
TRT4 TV ||> mms://212.175.166.3/TV4
TRT INT ||> mms://212.175.166.3/TRTINT
TURK MEN ||> mms://66.90.101.25/turkmen
TV5 TV ||> mms://66.90.118.66/tv5

TV Teuta ||> http://www2.jumptv.com/asx/sampleclips/tvteutaclip.asx
Music Plus TV ||>mms://musicplus-musicplustv.wm.llnwd.net/musicplus_musicplustv
Cyberetika France ||> mms://stream.robot-serveur.com/cybertika
Big Pond TV ||> mms://wmt.streaming.telstra.com/ucs-wh_chiefe0live9
ManiaTV ||> mms://channel125.com/channel125
NASA TV ||> http://search.nasa.gov/55644main_NASATV_Windows.asx
Russia Today ||> mms://polar.rttv.ru/rttv
SCCtv ||> mms://media.scctv.net/SCCtv%20Broadband
ZDF ||> mms://ms.mdcs.dtag.de/encoder.zdf.zdf_h
OK43 ||> http://streaming.ok43.de/ok43live.wmx
ATV Hungary ||> mms://live0.tisztanet.hu/ATV_live
HIR TV ||> http://www.hirtv.net/adas.asx
RAI Sport ||> mms://fastreal.fastweb.it/raisporthigh
TV5 Live ||> mms://stream.grafton.lv/live_tv5
TRT1 ||> mms://212.175.166.3/TV1
TRTINT ||> mms://212.175.166.3/TRTINT
DW TV ||> http://wwitv.com/l_tv/6333.asx

BTV1 Films ||> mms://194.93.135.74/1BB
BTV2 Films ||> mms://194.93.135.74/2BB
BTV3 Films ||> mms://194.93.135.74/3BB
BTV4 Films ||> mms://194.93.135.74/4BB
BTV5 Films ||> mms://194.93.135.74/5BB

Fasion TV ||> mms://a420.l2147244871.c21472.e.lm.akamaistream.net/D/420/21472/v0001/reflector:44871


ALSAT ||> http://www.alsat.tv/live.asx
VISION PLUS ||> http://www.vizionplus.tv/foto/lajme.wmv
